P0: controllers.MCTS.MCTSAgentT: iterations:1000, rollout depth:200, K_UCT:1.414, tree depth:10
P0: controllers.MCTS.MCTSAgentT:
P1: controllers.MCTS.MCTSAgentT: iterations:1000, rollout depth:200, K_UCT:1.414, tree depth:10
P1: controllers.MCTS.MCTSAgentT:
Start state = |------|------|------|------|------|------|------|
run, moveNum, player, action, gameScore, nEmptyTile, cumEmptyTl, highestTile
1, 0, 0, -1, +0.00, 0, 0, 0
1, 1, 1, 3, +0.00, 0, 0, 0
1, 2, 0, 1, +0.00, 0, 0, 0
1, 3, 1, 5, +0.00, 0, 0, 0
1, 4, 0, 4, +0.00, 0, 0, 0
1, 5, 1, 3, +0.00, 0, 0, 0
1, 6, 0, 3, +0.00, 0, 0, 0
1, 7, 1, 4, +0.00, 0, 0, 0
1, 8, 0, 5, +0.00, 0, 0, 0
1, 9, 1, 5, +0.00, 0, 0, 0
1, 10, 0, 1, +0.00, 0, 0, 0
1, 11, 1, 4, +0.00, 0, 0, 0
1, 12, 0, 4, +0.00, 0, 0, 0
1, 13, 1, 5, +0.00, 0, 0, 0
1, 14, 0, 2, +0.00, 0, 0, 0
1, 15, 1, 2, +0.00, 0, 0, 0
1, 16, 0, 1, +0.00, 0, 0, 0
1, 17, 1, 1, +0.00, 0, 0, 0
1, 18, 0, 2, +0.00, 0, 0, 0
1, 19, 1, 5, +0.00, 0, 0, 0
1, 20, 0, 5, +0.00, 0, 0, 0
1, 21, 1, 3, +0.00, 0, 0, 0
1, 22, 0, 2, +0.00, 0, 0, 0
1, 23, 1, 2, +0.00, 0, 0, 0
1, 24, 0, 3, +0.00, 0, 0, 0
1, 25, 1, 3, +0.00, 0, 0, 0
1, 26, 0, 0, +0.00, 0, 0, 0
1, 27, 1, 6, +0.00, 0, 0, 0
1, 28, 0, 0, -1.00, 0, 0, 0
