P0: controllers.MCTS.MCTSAgentT: iterations:1000, rollout depth:200, K_UCT:1.414, tree depth:10
P0: controllers.MCTS.MCTSAgentT:
P1: RandomAgent
P1: controllers.RandomAgent:
Start state = _____0_________
run, moveNum, player, action, gameScore, nEmptyTile, cumEmptyTl, highestTile
1, 0, 1, -1, +0.00, 0, 0, 0
1, 2, 0, 12, +0.00, 0, 0, 0
1, 3, 1, 14, +0.00, 0, 0, 0
1, 4, 0, 9, +0.00, 0, 0, 0
1, 5, 1, 6, +0.00, 0, 0, 0
1, 6, 0, 8, +0.00, 0, 0, 0
1, 7, 1, 13, +0.00, 0, 0, 0
1, 8, 0, 2, +0.00, 0, 0, 0
1, 9, 1, 7, +0.00, 0, 0, 0
1, 10, 0, 11, +0.00, 0, 0, 0
1, 11, 1, 4, +0.00, 0, 0, 0
1, 12, 0, 10, +1.00, 0, 0, 0
